sample_id,env_group,depth,cells_per_ml,temperature,total_nitrogen,total_phosphorus,diss_org_carbon,chlorophyll,Proteobacteria,Actinobacteriota,Bacteroidota,Chloroflexi,Verrucomicrobiota,Cyanobacteria
May_74_E,Shallow_May,5,3173752.217821782,9.2661,472,4.45,2.942,4.8,0.31924781924781914,0.14450164450164454,0.3096668096668096,0.05784355784355785,0.09981409981409985,0.01301301301301301
May_74_M,Shallow_May,14,2976663.5339626987,8.6609,465,1.76,2.528,4.8,0.30846493998736574,0.11705622236260266,0.3037271004421984,0.07466835123183829,0.11958307012002528,0.01250789639924194
May_8_E,Shallow_May,5,4578829.626064932,8.4311,640,7.36,2.438,2.22,0.44319281443068753,0.1948738307322036,0.2632806490831948,0.05237823487085329,0.03761506587598938,6.947373644641838e-4
September_12_B,Deep,102,1703592.3156804051,4.1965,564,1.69,2.416,0.05,0.30195935456555495,0.14449357858587758,0.05374700098790987,0.24649527214564615,0.19560615326715905,0.00274027379216258
September_12_E,Shallow_September,5,4930739.39626986,18.1228,526,3.12,2.963,2.89,0.43588136704802166,0.21974786854186404,0.07703854842235662,0.00970633243459885,0.103883990381112,0.11340085987029076
September_12_M,Deep,52,2304544.6916877734,4.7555,517,2.25,2.584,0.37,0.22420654178394656,0.2798214112394448,0.12907648257788987,0.07269727263903718,0.14731146268077255,0.00899009997088226
September_17_B,Shallow_September,10.9,6942212.734745568,18.1227,385,2.67,2.687,2.28,0.3558947949236712,0.21276439212801176,0.14325301943473728,0.00956409784807798,0.19672613573661943,0.05206302495248605
September_17_E,Shallow_September,5,7261861.440939443,18.4061,396,3.48,2.734,2.74,0.29398493290433925,0.3248842501765675,0.12203758926469432,0.01492976536137487,0.16161814329435772,0.06124931334850506
September_29_B,Shallow_September,27.9,6168187.355284365,19.0286,358,4.28,2.884,2.12,0.3828340205656407,0.24331445583177932,0.07618012900576589,0.00839221859120228,0.11117764812565228,0.13841600082125688
September_29_E,Shallow_September,5,5582204.75339627,19.0098,336,2.68,2.814,2.21,0.4532027397871533,0.18427745922670177,0.08144619709511161,0.00688293433881439,0.12767452756520375,0.1136520827290779
September_29_M,Shallow_September,15,5681149.356665899,19.0292,378,5.08,2.75,2.24,0.39072275929695943,0.22145361912578204,0.1004146193282954,0.00786604278359855,0.10786497692414278,0.1346500250476972
September_33_B,Deep,134.9,1246413.813032466,3.9767,506,4.15,2.487,0.05,0.30127153404429846,0.14499589827727644,0.06250394396415726,0.2593235312677478,0.1526156370290907,0.00244525777749731
September_33_E,Shallow_September,5,7027388.347916186,19.1526,370,4.72,2.578,2.5,0.42008718220072033,0.22610678559729885,0.0982689545695064,0.00424572278075944,0.08853024919998992,0.12263461586917632
September_33_M,Deep,68.5,1793410.9603960395,4.1696,521,3.56,2.233,0.25,0.16281448439475524,0.3096898839373233,0.09583339252482494,0.14034065887233108,0.15190430866705498,0.0120466523660023
September_35_B,Shallow_September,26.7,3563526.710798987,9.1792,528,4.45,2.475,1.14,0.27006294256490965,0.39714895026709174,0.11000455505403953,0.047300095242039,0.1049629384239513,0.02429707234254006
September_35_E,Shallow_September,5,5481819.209302325,12.7614,501,4.28,2.452,1.85,0.33736548734226224,0.2664705426956725,0.127728961833243,0.01791244096926531,0.1288128048308431,0.06458543005341799
September_35_M,Shallow_September,14.4,4330587.5429426655,10.0612,553,4.26,2.387,1.28,0.2963512011050838,0.29784486147142386,0.13727075682535406,0.03852071471087005,0.13068966679020247,0.03981222555394584
September_38_B,Deep,16.6,1783244.322357817,5.2679,582,4.29,2.409,0.51,0.30164485138982816,0.27080644830906003,0.10334091234969996,0.14060099551404168,0.09064093897867637,0.02101640754624224
September_38_E,Deep,5,1989859.2261109832,6.83795,526,4.43,2.396,1.01,0.29583012530824926,0.2029257188765775,0.1641616175141433,0.10348252044767292,0.1040069628092257,0.03362010287996965
September_41_B,Deep,126,1394350.404328805,3.831,483,4.1,2.388,0.05,0.28866401386059437,0.14713554062029963,0.05542333834700987,0.25049978104830267,0.1614816366163395,0.00383641452316128
September_41_E,Shallow_September,5,6847030.58807276,19.5624,336,4.46,2.719,2.18,0.3912452900404707,0.27775038377448014,0.08729590175373309,0.00574033586081778,0.08500721030841513,0.1175791970972694
September_41_M,Deep,63.9,2067910.187428045,3.93275,508,5.3,2.396,0.23,0.18499085005425195,0.2801907723201995,0.104681857196068,0.12916808369366306,0.14933845082511457,0.01797599961132974
September_43_B,Shallow_September,15.6,6123518.189730601,19.4761,346,4.29,2.779,2.13,0.4750424903837557,0.14116870918686822,0.072457285982646,0.00515475445030861,0.11356114142588776,0.14148179622506485
September_43_E,Shallow_September,5,5808672.619617776,19.4589,362,4.41,3.061,2.45,0.3535179030263696,0.2730310178811025,0.09770150222307972,0.0075505783515009,0.08218817689926425,0.1334724767826293
September_48_B,Shallow_September,31.5,5950365.13400875,19.2562,329,4.43,2.618,2.13,0.42748339624444526,0.208342491280042,0.0683740264704477,0.00645037985570261,0.1257107362989154,0.117530699030054
September_48_E,Shallow_September,5,6150896.0653925855,19.7803,310,5.97,2.573,2.18,0.30229937755950453,0.4160404702883741,0.0900557165836487,0.01245658069579678,0.08251804766604244,0.05866171408145345
September_48_M,Shallow_September,16.5,5888164.521759152,19.6652,364,4.62,2.626,2.37,0.2685379599955797,0.40637338128773653,0.10660143260430588,0.01055867549402746,0.07091692703362501,0.09605280342378364
September_55_B,Deep,189.6,1594240.917568501,3.7787,475,5.68,2.481,0.05,0.31315308254963414,0.149980407523511,0.0687369383490073,0.24209770114942528,0.12070053988157434,0.00396203413444792
September_55_E,Shallow_September,5,5590850.398342159,20.0723,330,5.76,2.534,2.39,0.4144140133768095,0.21094628131364276,0.08108438964131898,0.00593164695015413,0.08653749846979089,0.1527538199583783
September_55_M,Deep,96,2008431.352291043,3.92295,464,6.11,2.395,0.11,0.2524023558586486,0.20897174740944113,0.06733238862811088,0.17548268532459482,0.1431006996723054,0.00304446018953148
September_62_B,Shallow_September,18,7002892.353902832,20.0727,338,7.2,2.649,1.68,0.4445189001548922,0.22247366281816092,0.11902538695609188,0.00841471586602366,0.07473278333754435,0.08943107293119928
September_62_E,Shallow_September,4.8,6389932.137692839,20.096,314,6.1,2.736,2.34,0.4412438978342368,0.20572502270050613,0.09990919797538456,0.00572682076039952,0.10034073234979456,0.10234556913090773
September_64_B,Deep,210,1459993.2641031544,3.7602,472,6.51,2.335,0.05,0.3492463979815416,0.119447579841976,0.04765382681855691,0.24231932996291275,0.12062374913447216,0.00232388287630303
September_64_E,Shallow_September,5,5749994.307160949,20.4644,313,5.89,2.639,2.24,0.29617037501886584,0.3936784576644132,0.09560161096856702,0.00793568835542987,0.06617045445518599,0.08351934671570536
September_64_M,Deep,106,1852089.272852867,3.9855,479,5.84,2.764,0.12,0.26385498308278715,0.1980063386012248,0.05690821876739903,0.18775964709409396,0.1345774979656516,0.00531071994517966
September_66_B,Shallow_September,15.8,6061237.525212986,19.9489,314,5.84,2.786,1.33,0.38783508855911947,0.3622646401787139,0.07557443752991859,0.01190761129727142,0.06127333652465294,0.06300861656294877
September_66_E,Shallow_September,5,6014887.262030854,20.1997,333,6.25,2.736,1.64,0.36384857892330286,0.4021971939450822,0.06281134936105695,0.0107693788655452,0.06613240921233124,0.05577214641542127
September_717_B,Deep,34.8,1575428.6345843887,4.0226,499,5.86,2.393,0.17,0.26634968662200126,0.1518046250270153,0.08823211584179817,0.23085152366544195,0.15352280095094012,0.01105467905770477
September_717_E,Shallow_September,5,5680108.677181672,18.7684,360,6.11,2.803,2.23,0.3210485180063733,0.35717291786551697,0.13895783768927517,0.0124537279590487,0.07123532392575863,0.05495958979996736
September_717_M,Deep,18.5,2024281.701358508,4.8534500000000005,525,5.52,2.748,0.39,0.2051271003877639,0.20046316242998707,0.12828522188711758,0.1339616544592848,0.19503446790176648,0.01176217147781128
September_8_B,Shallow_September,13.4,5100450.204466958,18.9671,381,3.23,2.68,1.48,0.42888987962550174,0.16255450561638915,0.11755814838576388,0.0048280286637017,0.16453356241096964,0.0886443460957124
September_8_E,Shallow_September,5,6345503.128943127,18.9587,397,3.96,2.766,2.27,0.35964681258056935,0.2108589883980428,0.11992847538915764,0.00841384472505995,0.16220561939481307,0.1056789986554482
